,sentences,entities,search_text
340,ND11727 is sourced from vertebrate blood.,[],"['ND11727', 'is', 'sourced', 'from', 'vertebrate', 'blood.']"
341,The donor of GM 02552 has Sanfilippo syndrome type B.,[],"['The', 'donor', 'of', 'GM', '02552', 'has', 'Sanfilippo', 'syndrome', 'type', 'B.']"
342,ND11727 was derived from vertebrate blood.,[],"['ND11727', 'was', 'derived', 'from', 'vertebrate', 'blood.']"
343,A patient of Amyotrophic lateral sclerosis contributed to ND11727.,[],"['A', 'patient', 'of', 'Amyotrophic', 'lateral', 'sclerosis', 'contributed', 'to', 'ND11727.']"
344,HF 358.We is sourced from late embryo.,[],"['HF', '358.We', 'is', 'sourced', 'from', 'late', 'embryo.']"
345,The ND11727 cell line contains Epstein Barr virus as a transformant.,"[Span[1:2]: ""ND11727"" → CellLine (0.9983)]","['The', 'ND11727', 'cell', 'line', 'contains', 'Epstein', 'Barr', 'virus', 'as', 'a', 'transformant.']"
346,ND11727 is a type of Transformed cell line.,"[Span[0:1]: ""ND11727"" → CellLine (0.9952)]","['ND11727', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
347,Macaca mulatta polyomavirus 1 is the transformant in the SVOG3e cell line.,[],"['Macaca', 'mulatta', 'polyomavirus', '1', 'is', 'the', 'transformant', 'in', 'the', 'SVOG3e', 'cell', 'line.']"
348,ND11727 is a type of Transformed cell line.,"[Span[0:1]: ""ND11727"" → CellLine (0.9952)]","['ND11727', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
349,blood is the origin of the ND11727.,[],"['blood', 'is', 'the', 'origin', 'of', 'the', 'ND11727.']"
350,GM04478 cell line belongs to the category of Finite cell line.,[],"['GM04478', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Finite', 'cell', 'line.']"
351,ND07943 comes from a patient with Parkinson Disease.,[],"['ND07943', 'comes', 'from', 'a', 'patient', 'with', 'Parkinson', 'Disease.']"
352,ND07943 was derived from blood.,[],"['ND07943', 'was', 'derived', 'from', 'blood.']"
353,A patient of Anaplastic thyroid carcinoma contributed to  hth83.,[],"['A', 'patient', 'of', 'Anaplastic', 'thyroid', 'carcinoma', 'contributed', 'to', '', 'hth83.']"
354,ND07943 is sourced from portion of blood.,[],"['ND07943', 'is', 'sourced', 'from', 'portion', 'of', 'blood.']"
355,ND07943 comes from a patient with Parkinson Disease.,[],"['ND07943', 'comes', 'from', 'a', 'patient', 'with', 'Parkinson', 'Disease.']"
356,AG11246 is sourced from skin of arm.,[],"['AG11246', 'is', 'sourced', 'from', 'skin', 'of', 'arm.']"
357,Human herpesvirus 4 is the transformant in the ND07943 cell line.,[],"['Human', 'herpesvirus', '4', 'is', 'the', 'transformant', 'in', 'the', 'ND07943', 'cell', 'line.']"
358,blood is the origin of the ND07943.,[],"['blood', 'is', 'the', 'origin', 'of', 'the', 'ND07943.']"
359,The  D98-AH2-CloneB cell line contains Human papillomavirus type 18 as a transformant.,"[Span[1:2]: ""D98-AH2-CloneB"" → CellLine (0.9988)]","['The', '', 'D98-AH2-CloneB', 'cell', 'line', 'contains', 'Human', 'papillomavirus', 'type', '18', 'as', 'a', 'transformant.']"
360,ND07943 is a type of Transformed cell line.,[],"['ND07943', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
361,ND07943 comes from a patient with Parkinson Disease.,[],"['ND07943', 'comes', 'from', 'a', 'patient', 'with', 'Parkinson', 'Disease.']"
362, 1810 cell line belongs to the category of Cancer cell line.,"[Span[8:11]: ""Cancer cell line"" → CellLine (0.9999)]","['', '1810', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Cancer', 'cell', 'line.']"
363,The donor of DA06439 has Type 2 Diabetes.,[],"['The', 'donor', 'of', 'DA06439', 'has', 'Type', '2', 'Diabetes.']"
364,The Human herpesvirus 4 transformed DA06439.,[],"['The', 'Human', 'herpesvirus', '4', 'transformed', 'DA06439.']"
365,AG07927 comes from a patient with Early-onset autosomal dominant Alzheimer disease.,[],"['AG07927', 'comes', 'from', 'a', 'patient', 'with', 'Early-onset', 'autosomal', 'dominant', 'Alzheimer', 'disease.']"
366,blood is the origin of the DA06439.,[],"['blood', 'is', 'the', 'origin', 'of', 'the', 'DA06439.']"
367,The DA06439 cell line contains Epstein Barr virus as a transformant.,[],"['The', 'DA06439', 'cell', 'line', 'contains', 'Epstein', 'Barr', 'virus', 'as', 'a', 'transformant.']"
368,bone marrow is the origin of the  ARK-B.,[],"['bone', 'marrow', 'is', 'the', 'origin', 'of', 'the', '', 'ARK-B.']"
369,The DA06439 cell line contains human gammaherpesvirus 4 as a transformant.,[],"['The', 'DA06439', 'cell', 'line', 'contains', 'human', 'gammaherpesvirus', '4', 'as', 'a', 'transformant.']"
370,DA06439 is a type of Transformed cell line.,[],"['DA06439', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
371,The Human papilloma virus type 18 transformed MR6.,[],"['The', 'Human', 'papilloma', 'virus', 'type', '18', 'transformed', 'MR6.']"
372,DA06439 is a type of Transformed cell line.,[],"['DA06439', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
373,The DA06439 cell line contains Epstein-Barr virus EBV as a transformant.,[],"['The', 'DA06439', 'cell', 'line', 'contains', 'Epstein-Barr', 'virus', 'EBV', 'as', 'a', 'transformant.']"
374, SJNB12 cell line belongs to the category of Cancer cell line.,"[Span[0:1]: ""SJNB12"" → CellLine (0.9996), Span[8:11]: ""Cancer cell line"" → CellLine (0.9999)]","['', 'SJNB12', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Cancer', 'cell', 'line.']"
375,"A patient of Diabetes, Type II contributed to DA03945.",[],"['A', 'patient', 'of', 'Diabetes,', 'Type', 'II', 'contributed', 'to', 'DA03945.']"
376,The Transformed cell line includes DA03945.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'DA03945.']"
377,The donor of HQ00481 has Huntington disease.,[],"['The', 'donor', 'of', 'HQ00481', 'has', 'Huntington', 'disease.']"
378,vertebrate blood is the origin of the DA03945.,[],"['vertebrate', 'blood', 'is', 'the', 'origin', 'of', 'the', 'DA03945.']"
379,DA03945 cell line belongs to the category of Transformed cell line.,[],"['DA03945', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
380,entire skin is the origin of the La Bel.,[],"['entire', 'skin', 'is', 'the', 'origin', 'of', 'the', 'La', 'Bel.']"
381,Epstein-Barr virus EBV is the transformant in the DA03945 cell line.,[],"['Epstein-Barr', 'virus', 'EBV', 'is', 'the', 'transformant', 'in', 'the', 'DA03945', 'cell', 'line.']"
382,DA03945 comes from a patient with NIDDM.,[],"['DA03945', 'comes', 'from', 'a', 'patient', 'with', 'NIDDM.']"
383,The RPE-28 SV4 cell line contains Polyomavirus maccacae 1 as a transformant.,"[Span[1:2]: ""RPE-28"" → CellLine (0.5567), Span[2:3]: ""SV4"" → CellLine (0.9982)]","['The', 'RPE-28', 'SV4', 'cell', 'line', 'contains', 'Polyomavirus', 'maccacae', '1', 'as', 'a', 'transformant.']"
384,The Transformed cell line includes DA03945.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'DA03945.']"
385,DA03945 is sourced from blood.,[],"['DA03945', 'is', 'sourced', 'from', 'blood.']"
386,The Finite cell line includes 80T.,[],"['The', 'Finite', 'cell', 'line', 'includes', '80T.']"
387,A patient of Lou Gehrig Disease contributed to ND14652.,[],"['A', 'patient', 'of', 'Lou', 'Gehrig', 'Disease', 'contributed', 'to', 'ND14652.']"
388,The ND14652 cell line contains Epstein-Barr virus as a transformant.,[],"['The', 'ND14652', 'cell', 'line', 'contains', 'Epstein-Barr', 'virus', 'as', 'a', 'transformant.']"
389,GM07831 comes from a patient with Cystic Fibrosis.,[],"['GM07831', 'comes', 'from', 'a', 'patient', 'with', 'Cystic', 'Fibrosis.']"
390,ND14652 comes from a patient with Amyotrophic lateral sclerosis.,[],"['ND14652', 'comes', 'from', 'a', 'patient', 'with', 'Amyotrophic', 'lateral', 'sclerosis.']"
391,ND14652 was derived from vertebrate blood.,[],"['ND14652', 'was', 'derived', 'from', 'vertebrate', 'blood.']"
392,GM14286 comes from a patient with Morbid Obesity.,[],"['GM14286', 'comes', 'from', 'a', 'patient', 'with', 'Morbid', 'Obesity.']"
393,portion of blood is the origin of the ND14652.,[],"['portion', 'of', 'blood', 'is', 'the', 'origin', 'of', 'the', 'ND14652.']"
394,ND14652 comes from a patient with Amyotrophic Lateral Sclerosis.,[],"['ND14652', 'comes', 'from', 'a', 'patient', 'with', 'Amyotrophic', 'Lateral', 'Sclerosis.']"
395, WM 451-Lu was derived from skin of arm.,[],"['', 'WM', '451-Lu', 'was', 'derived', 'from', 'skin', 'of', 'arm.']"
396,The ND14652 cell line contains human gammaherpesvirus 4 as a transformant.,[],"['The', 'ND14652', 'cell', 'line', 'contains', 'human', 'gammaherpesvirus', '4', 'as', 'a', 'transformant.']"
397,The Transformed cell line includes ND14652.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'ND14652.']"
398,The Human papillomavirus 16 transformed  SKG3B.,[],"['The', 'Human', 'papillomavirus', '16', 'transformed', '', 'SKG3B.']"
399,ND14652 cell line belongs to the category of Transformed cell line.,[],"['ND14652', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
400,ND14652 comes from a patient with Amyotrophic lateral sclerosis.,[],"['ND14652', 'comes', 'from', 'a', 'patient', 'with', 'Amyotrophic', 'lateral', 'sclerosis.']"
401,The Finite cell line includes FIB-PSE45.,[],"['The', 'Finite', 'cell', 'line', 'includes', 'FIB-PSE45.']"
402,portion of blood is the origin of the AG14799.,[],"['portion', 'of', 'blood', 'is', 'the', 'origin', 'of', 'the', 'AG14799.']"
403,The Human herpesvirus type 4 transformed AG14799.,[],"['The', 'Human', 'herpesvirus', 'type', '4', 'transformed', 'AG14799.']"
404,H60 is sourced from lung.,[],"['H60', 'is', 'sourced', 'from', 'lung.']"
405,The AG14799 cell line contains Epstein-Barr virus EBV as a transformant.,"[Span[1:2]: ""AG14799"" → CellLine (0.6067)]","['The', 'AG14799', 'cell', 'line', 'contains', 'Epstein-Barr', 'virus', 'EBV', 'as', 'a', 'transformant.']"
406,AG14799 cell line belongs to the category of Transformed cell line.,"[Span[0:1]: ""AG14799"" → CellLine (0.9823)]","['AG14799', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
407,The XP14BRneo17 cell line contains Rhesus macaque polyomavirus as a transformant.,"[Span[1:2]: ""XP14BRneo17"" → CellLine (0.9950)]","['The', 'XP14BRneo17', 'cell', 'line', 'contains', 'Rhesus', 'macaque', 'polyomavirus', 'as', 'a', 'transformant.']"
408,The Transformed cell line includes AG14799.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'AG14799.']"
409,AG14799 is sourced from blood.,[],"['AG14799', 'is', 'sourced', 'from', 'blood.']"
410,GRC#0716 is a type of Finite cell line.,[],"['GRC#0716', 'is', 'a', 'type', 'of', 'Finite', 'cell', 'line.']"
411,blood is the origin of the GM19094.,[],"['blood', 'is', 'the', 'origin', 'of', 'the', 'GM19094.']"
412,The GM19094 cell line contains human gammaherpesvirus 4 as a transformant.,[],"['The', 'GM19094', 'cell', 'line', 'contains', 'human', 'gammaherpesvirus', '4', 'as', 'a', 'transformant.']"
413,HTh83 was derived from thyroid gland.,[],"['HTh83', 'was', 'derived', 'from', 'thyroid', 'gland.']"
414,Epstein-Barr virus is the transformant in the GM19094 cell line.,[],"['Epstein-Barr', 'virus', 'is', 'the', 'transformant', 'in', 'the', 'GM19094', 'cell', 'line.']"
415,GM19094 is sourced from portion of blood.,[],"['GM19094', 'is', 'sourced', 'from', 'portion', 'of', 'blood.']"
416,The  RPE 28 SV4 cell line contains Betapolyomavirus macacae as a transformant.,"[Span[1:3]: ""RPE 28"" → CellLine (0.9931), Span[3:4]: ""SV4"" → CellLine (0.9206)]","['The', '', 'RPE', '28', 'SV4', 'cell', 'line', 'contains', 'Betapolyomavirus', 'macacae', 'as', 'a', 'transformant.']"
417,GM19094 is a type of Transformed cell line.,[],"['GM19094', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
418,GM19094 was derived from vertebrate blood.,[],"['GM19094', 'was', 'derived', 'from', 'vertebrate', 'blood.']"
419,The Cancer cell line includes  TGW-I-nu.,"[Span[1:4]: ""Cancer cell line"" → CellLine (0.9999)]","['The', 'Cancer', 'cell', 'line', 'includes', '', 'TGW-I-nu.']"
420,GM20237 was derived from vertebrate blood.,[],"['GM20237', 'was', 'derived', 'from', 'vertebrate', 'blood.']"
421,Human herpesvirus type 4 is the transformant in the GM20237 cell line.,[],"['Human', 'herpesvirus', 'type', '4', 'is', 'the', 'transformant', 'in', 'the', 'GM20237', 'cell', 'line.']"
422, OSA was derived from femur.,[],"['', 'OSA', 'was', 'derived', 'from', 'femur.']"
423,The Human herpesvirus type 4 transformed GM20237.,[],"['The', 'Human', 'herpesvirus', 'type', '4', 'transformed', 'GM20237.']"
424,GM20237 was derived from blood.,[],"['GM20237', 'was', 'derived', 'from', 'blood.']"
425,The Betapolyomavirus macacae transformed AC16 [Human hybrid cardiomyocyte].,"[Span[4:5]: ""AC16"" → CellLine (0.9996)]","['The', 'Betapolyomavirus', 'macacae', 'transformed', 'AC16', '[Human', 'hybrid', 'cardiomyocyte].']"
426,The Transformed cell line includes GM20237.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'GM20237.']"
427,portion of blood is the origin of the GM20237.,[],"['portion', 'of', 'blood', 'is', 'the', 'origin', 'of', 'the', 'GM20237.']"
428,Hs 919.Sk is a type of Finite cell line.,"[Span[0:2]: ""Hs 919.Sk"" → CellLine (0.9999)]","['Hs', '919.Sk', 'is', 'a', 'type', 'of', 'Finite', 'cell', 'line.']"
429,The donor of DA01073 has Adult Onset Diabetes.,[],"['The', 'donor', 'of', 'DA01073', 'has', 'Adult', 'Onset', 'Diabetes.']"
430,DA01073 is a type of Transformed cell line.,[],"['DA01073', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
431,The donor of  H-60 has Small cell lung cancer.,[],"['The', 'donor', 'of', '', 'H-60', 'has', 'Small', 'cell', 'lung', 'cancer.']"
432,vertebrate blood is the origin of the DA01073.,[],"['vertebrate', 'blood', 'is', 'the', 'origin', 'of', 'the', 'DA01073.']"
433,The DA01073 cell line contains Epstein Barr virus as a transformant.,[],"['The', 'DA01073', 'cell', 'line', 'contains', 'Epstein', 'Barr', 'virus', 'as', 'a', 'transformant.']"
434,Hs 919.Sk was derived from skin organ.,"[Span[0:2]: ""Hs 919.Sk"" → CellLine (0.9972)]","['Hs', '919.Sk', 'was', 'derived', 'from', 'skin', 'organ.']"
435,The human gammaherpesvirus 4 transformed DA01073.,[],"['The', 'human', 'gammaherpesvirus', '4', 'transformed', 'DA01073.']"
436,DA01073 cell line belongs to the category of Transformed cell line.,[],"['DA01073', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
437,The MR6 cell line contains Human papilloma virus type 18 as a transformant.,"[Span[1:2]: ""MR6"" → CellLine (0.9984)]","['The', 'MR6', 'cell', 'line', 'contains', 'Human', 'papilloma', 'virus', 'type', '18', 'as', 'a', 'transformant.']"
438,DA01073 is a type of Transformed cell line.,[],"['DA01073', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
439,DA01073 comes from a patient with NIDDM.,[],"['DA01073', 'comes', 'from', 'a', 'patient', 'with', 'NIDDM.']"
440,The Cancer cell line includes  Patton.,"[Span[1:4]: ""Cancer cell line"" → CellLine (0.9999)]","['The', 'Cancer', 'cell', 'line', 'includes', '', 'Patton.']"
441,A patient of Astrocytoma contributed to  LN308.,[],"['A', 'patient', 'of', 'Astrocytoma', 'contributed', 'to', '', 'LN308.']"
442,The Cancer cell line includes  LNZ 308.,"[Span[1:4]: ""Cancer cell line"" → CellLine (0.9999)]","['The', 'Cancer', 'cell', 'line', 'includes', '', 'LNZ', '308.']"
443,The donor of ND09373 has Amyotrophic lateral sclerosis.,[],"['The', 'donor', 'of', 'ND09373', 'has', 'Amyotrophic', 'lateral', 'sclerosis.']"
444,The donor of  LN-Z308 has Astrocytoma.,[],"['The', 'donor', 'of', '', 'LN-Z308', 'has', 'Astrocytoma.']"
445," LNZ308 was derived from Brain, right parieto-occipital lobe..",[],"['', 'LNZ308', 'was', 'derived', 'from', 'Brain,', 'right', 'parieto-occipital', 'lobe..']"
446,The donor of  KPLRY has B-lymphoblastic leukemia/lymphoma with t(v;11q23.3).,[],"['The', 'donor', 'of', '', 'KPLRY', 'has', 'B-lymphoblastic', 'leukemia/lymphoma', 'with', 't(v;11q23.3).']"
447,"Brain, right parieto-occipital lobe. is the origin of the  LNZ 308.",[],"['Brain,', 'right', 'parieto-occipital', 'lobe.', 'is', 'the', 'origin', 'of', 'the', '', 'LNZ', '308.']"
448,The Cancer cell line includes  LN-Z308.,"[Span[1:4]: ""Cancer cell line"" → CellLine (0.9999), Span[5:6]: ""LN-Z308"" → CellLine (0.9978)]","['The', 'Cancer', 'cell', 'line', 'includes', '', 'LN-Z308.']"
449,GM05560 was derived from vertebrate blood.,[],"['GM05560', 'was', 'derived', 'from', 'vertebrate', 'blood.']"
450, LNZ308 is a type of Cancer cell line.,"[Span[5:8]: ""Cancer cell line"" → CellLine (0.9999)]","['', 'LNZ308', 'is', 'a', 'type', 'of', 'Cancer', 'cell', 'line.']"
451," LN-Z308 comes from a patient with Astrocytoma, NOS.",[],"['', 'LN-Z308', 'comes', 'from', 'a', 'patient', 'with', 'Astrocytoma,', 'NOS.']"
452,CB57/C91PL is a type of Transformed cell line.,[],"['CB57/C91PL', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
453,blood is the origin of the DA00495.,[],"['blood', 'is', 'the', 'origin', 'of', 'the', 'DA00495.']"
454,DA00495 cell line belongs to the category of Transformed cell line.,[],"['DA00495', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
455,CCD-1126Sk is sourced from skin of breast.,[],"['CCD-1126Sk', 'is', 'sourced', 'from', 'skin', 'of', 'breast.']"
456,The Epstein Barr virus transformed DA00495.,[],"['The', 'Epstein', 'Barr', 'virus', 'transformed', 'DA00495.']"
457,The Transformed cell line includes DA00495.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'DA00495.']"
458,The human papillomavirus type 16 HPV16 transformed SKG-IIIb.,[],"['The', 'human', 'papillomavirus', 'type', '16', 'HPV16', 'transformed', 'SKG-IIIb.']"
459,DA00495 cell line belongs to the category of Transformed cell line.,[],"['DA00495', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
460,DA00495 is sourced from portion of blood.,[],"['DA00495', 'is', 'sourced', 'from', 'portion', 'of', 'blood.']"
461,GM07209 cell line belongs to the category of Finite cell line.,[],"['GM07209', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Finite', 'cell', 'line.']"
462,portion of blood is the origin of the GM17131.,[],"['portion', 'of', 'blood', 'is', 'the', 'origin', 'of', 'the', 'GM17131.']"
463,GM17131 is a type of Transformed cell line.,[],"['GM17131', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
464,SF8428 is sourced from entire skin.,[],"['SF8428', 'is', 'sourced', 'from', 'entire', 'skin.']"
465,Human herpesvirus 4 (Epstein-Barr virus) is the transformant in the GM17131 cell line.,"[Span[12:13]: ""GM17131"" → CellLine (0.9784)]","['Human', 'herpesvirus', '4', '(Epstein-Barr', 'virus)', 'is', 'the', 'transformant', 'in', 'the', 'GM17131', 'cell', 'line.']"
466,GM14864 is sourced from portion of blood.,[],"['GM14864', 'is', 'sourced', 'from', 'portion', 'of', 'blood.']"
467,The HB1.F3 cell line contains v-Myc as a transformant.,"[Span[1:2]: ""HB1.F3"" → CellLine (0.9973)]","['The', 'HB1.F3', 'cell', 'line', 'contains', 'v-Myc', 'as', 'a', 'transformant.']"
468,The Transformed cell line includes GM17131.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'GM17131.']"
469,GM17131 is sourced from vertebrate blood.,[],"['GM17131', 'is', 'sourced', 'from', 'vertebrate', 'blood.']"
470, NCI-HUT-292 cell line belongs to the category of Cancer cell line.,"[Span[0:1]: ""NCI-HUT-292"" → CellLine (1.0000), Span[8:11]: ""Cancer cell line"" → CellLine (0.9999)]","['', 'NCI-HUT-292', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Cancer', 'cell', 'line.']"
471,A patient of Amyotrophic Lateral Sclerosis contributed to ND12214.,[],"['A', 'patient', 'of', 'Amyotrophic', 'Lateral', 'Sclerosis', 'contributed', 'to', 'ND12214.']"
472,The Transformed cell line includes ND12214.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'ND12214.']"
473,A patient of Becker muscular dystrophy contributed to GM05082.,[],"['A', 'patient', 'of', 'Becker', 'muscular', 'dystrophy', 'contributed', 'to', 'GM05082.']"
474,A patient of Amyotrophic lateral sclerosis contributed to ND12214.,[],"['A', 'patient', 'of', 'Amyotrophic', 'lateral', 'sclerosis', 'contributed', 'to', 'ND12214.']"
475,The ND12214 cell line contains Epstein-Barr virus EBV as a transformant.,"[Span[1:2]: ""ND12214"" → CellLine (0.9687)]","['The', 'ND12214', 'cell', 'line', 'contains', 'Epstein-Barr', 'virus', 'EBV', 'as', 'a', 'transformant.']"
476,"DA00347 comes from a patient with Diabetes, Type II.",[],"['DA00347', 'comes', 'from', 'a', 'patient', 'with', 'Diabetes,', 'Type', 'II.']"
477,ND12214 was derived from portion of blood.,[],"['ND12214', 'was', 'derived', 'from', 'portion', 'of', 'blood.']"
478,ND12214 comes from a patient with Amyotrophic lateral sclerosis.,[],"['ND12214', 'comes', 'from', 'a', 'patient', 'with', 'Amyotrophic', 'lateral', 'sclerosis.']"
479,arm skin is the origin of the  GRC#0298.,[],"['arm', 'skin', 'is', 'the', 'origin', 'of', 'the', '', 'GRC#0298.']"
480,The Human herpesvirus 4 transformed ND12214.,[],"['The', 'Human', 'herpesvirus', '4', 'transformed', 'ND12214.']"
481,ND12214 is sourced from blood.,[],"['ND12214', 'is', 'sourced', 'from', 'blood.']"
482,Polyomavirus maccacae is the transformant in the AC16 [Human hybrid cardiomyocyte] cell line.,"[Span[7:8]: ""AC16"" → CellLine (1.0000)]","['Polyomavirus', 'maccacae', 'is', 'the', 'transformant', 'in', 'the', 'AC16', '[Human', 'hybrid', 'cardiomyocyte]', 'cell', 'line.']"
483,ND12214 is a type of Transformed cell line.,"[Span[0:1]: ""ND12214"" → CellLine (0.9501)]","['ND12214', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
484,A patient of ALS contributed to ND12214.,[],"['A', 'patient', 'of', 'ALS', 'contributed', 'to', 'ND12214.']"
485,The Finite cell line includes GM 09811.,[],"['The', 'Finite', 'cell', 'line', 'includes', 'GM', '09811.']"
486,GM16798 comes from a patient with Friedreich Ataxia.,[],"['GM16798', 'comes', 'from', 'a', 'patient', 'with', 'Friedreich', 'Ataxia.']"
487,The Transformed cell line includes GM16798.,[],"['The', 'Transformed', 'cell', 'line', 'includes', 'GM16798.']"
488,DA01739 comes from a patient with Type 2 Diabetes Mellitus Non-Insulin Dependent.,[],"['DA01739', 'comes', 'from', 'a', 'patient', 'with', 'Type', '2', 'Diabetes', 'Mellitus', 'Non-Insulin', 'Dependent.']"
489,A patient of Friedreich ataxia contributed to GM16798.,[],"['A', 'patient', 'of', 'Friedreich', 'ataxia', 'contributed', 'to', 'GM16798.']"
490,GM16798 was derived from blood.,[],"['GM16798', 'was', 'derived', 'from', 'blood.']"
491,The donor of GM04617 has Down syndrome.,[],"['The', 'donor', 'of', 'GM04617', 'has', 'Down', 'syndrome.']"
492,GM16798 was derived from blood.,[],"['GM16798', 'was', 'derived', 'from', 'blood.']"
493,Epstein-Barr virus EBV is the transformant in the GM16798 cell line.,[],"['Epstein-Barr', 'virus', 'EBV', 'is', 'the', 'transformant', 'in', 'the', 'GM16798', 'cell', 'line.']"
494,GRC#0716 is sourced from skin of arm.,[],"['GRC#0716', 'is', 'sourced', 'from', 'skin', 'of', 'arm.']"
495,Epstein Barr virus is the transformant in the GM16798 cell line.,[],"['Epstein', 'Barr', 'virus', 'is', 'the', 'transformant', 'in', 'the', 'GM16798', 'cell', 'line.']"
496,GM16798 cell line belongs to the category of Transformed cell line.,[],"['GM16798', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
497,The SVOG-3e cell line contains Betapolyomavirus macacae as a transformant.,"[Span[1:2]: ""SVOG-3e"" → CellLine (0.9980)]","['The', 'SVOG-3e', 'cell', 'line', 'contains', 'Betapolyomavirus', 'macacae', 'as', 'a', 'transformant.']"
498,GM16798 is a type of Transformed cell line.,[],"['GM16798', 'is', 'a', 'type', 'of', 'Transformed', 'cell', 'line.']"
499,Human herpesvirus 4 is the transformant in the GM16798 cell line.,[],"['Human', 'herpesvirus', '4', 'is', 'the', 'transformant', 'in', 'the', 'GM16798', 'cell', 'line.']"
500,The Finite cell line includes GM06965.,[],"['The', 'Finite', 'cell', 'line', 'includes', 'GM06965.']"
501,ND12379 was derived from blood.,[],"['ND12379', 'was', 'derived', 'from', 'blood.']"
502,The ND12379 cell line contains Epstein-Barr virus as a transformant.,"[Span[1:2]: ""ND12379"" → CellLine (0.9570)]","['The', 'ND12379', 'cell', 'line', 'contains', 'Epstein-Barr', 'virus', 'as', 'a', 'transformant.']"
503,SW480 is sourced from large bowel.,"[Span[0:1]: ""SW480"" → CellLine (0.9963)]","['SW480', 'is', 'sourced', 'from', 'large', 'bowel.']"
504,The Epstein-Barr virus transformed ND12379.,[],"['The', 'Epstein-Barr', 'virus', 'transformed', 'ND12379.']"
505,ND12379 is sourced from portion of blood.,[],"['ND12379', 'is', 'sourced', 'from', 'portion', 'of', 'blood.']"
506,rhesus polyomavirus is the transformant in the GM16093 cell line.,[],"['rhesus', 'polyomavirus', 'is', 'the', 'transformant', 'in', 'the', 'GM16093', 'cell', 'line.']"
507,ND12379 cell line belongs to the category of Transformed cell line.,"[Span[0:1]: ""ND12379"" → CellLine (0.9540)]","['ND12379', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Transformed', 'cell', 'line.']"
508,ND12379 is sourced from vertebrate blood.,[],"['ND12379', 'is', 'sourced', 'from', 'vertebrate', 'blood.']"
509,CORL283R is a type of Cancer cell line.,"[Span[5:8]: ""Cancer cell line"" → CellLine (0.9999)]","['CORL283R', 'is', 'a', 'type', 'of', 'Cancer', 'cell', 'line.']"
510,GM3523 was derived from zone of skin of neck (volume).,[],"['GM3523', 'was', 'derived', 'from', 'zone', 'of', 'skin', 'of', 'neck', '(volume).']"
511,skin fibroblast is the cell type for GM3523.,[],"['skin', 'fibroblast', 'is', 'the', 'cell', 'type', 'for', 'GM3523.']"
512,TE 175.T is sourced from lymph node.,[],"['TE', '175.T', 'is', 'sourced', 'from', 'lymph', 'node.']"
513,GM03523 represents a skin fibroblast.,[],"['GM03523', 'represents', 'a', 'skin', 'fibroblast.']"
514,The Finite cell line includes GM3523.,[],"['The', 'Finite', 'cell', 'line', 'includes', 'GM3523.']"
515,GM10915 represents a fibroblast.,[],"['GM10915', 'represents', 'a', 'fibroblast.']"
516,GM3523 cell line belongs to the category of Finite cell line.,[],"['GM3523', 'cell', 'line', 'belongs', 'to', 'the', 'category', 'of', 'Finite', 'cell', 'line.']"
517,GM03523 is skin fibroblast.,[],"['GM03523', 'is', 'skin', 'fibroblast.']"
